Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0307, -0.0091, 0.0436, 0.0218, 0.011162, 1.086836, 0.877602, 0.0, 4.476
0, 2, 0.0041, 0.0006, 0.0052, 0.0026, 0.001293, 1.074465, 0.900626, 0.0, 4.4751
0, 3, 0.0028, -0.0005, 0.003, 0.0015, 0.000738, 1.075898, 0.896897, 0.0, 4.003
0, 4, 0.0024, -0.0024, 0.0025, 0.0013, 0.000628, 1.075661, 0.897475, 0.0, 4.0323
0, 5, 0.0024, -0.0024, 0.0025, 0.0013, 0.000628, 1.075698, 0.897384, 0.0, 4.0123
0, 6, 0.0024, -0.0024, 0.0025, 0.0013, 0.000628, 1.075692, 0.897399, 0.0, 4.008
1, 1, 0.0185, 0.0008, 0.0216, 0.0054, 0.00272, 1.071596, 0.872394, 0.0199, 4.9918
1, 2, 0.0069, 0.0006, 0.0083, 0.0021, 0.001032, 1.069442, 0.871686, 0.0199, 5.1124
1, 3, 0.0028, -0.0004, 0.003, 0.0007, 0.000375, 1.06715, 0.871869, 0.0199, 5.2018
1, 4, 0.0029, 0.0004, 0.0031, 0.0008, 0.000383, 1.067159, 0.871931, 0.0199, 5.12
1, 5, 0.0028, -0.0004, 0.003, 0.0007, 0.000375, 1.067296, 0.872014, 0.0199, 4.9852
2, 1, 0.0904, 0.0097, 0.1705, 0.0213, 0.011911, 1.140185, 0.801606, 0.0559, 6.9708
2, 2, 0.0428, 0.0019, 0.1008, 0.0126, 0.008493, 1.117781, 0.804476, 0.0559, 6.9618
2, 3, 0.0346, -0.0004, 0.0923, 0.0115, 0.008097, 1.110913, 0.798919, 0.0559, 6.9568
2, 4, 0.0303, -0.0005, 0.0884, 0.0111, 0.007931, 1.108034, 0.794918, 0.0559, 6.9597
3, 1, 0.1112, 0.0423, 0.2435, 0.0152, 0.006545, 1.169024, 0.776078, 0.2384, 12.7691
3, 2, 0.0819, 0.0329, 0.2107, 0.0132, 0.005719, 1.171325, 0.765154, 0.2384, 12.6673
3, 3, 0.0751, 0.0324, 0.2077, 0.013, 0.005614, 1.173602, 0.760609, 0.2384, 12.6354
4, 1, 0.0784, 0.0291, 0.2032, 0.0063, 0.002645, 1.182258, 0.745582, 0.9629, 30.7935
4, 2, 0.0679, 0.0291, 0.2289, 0.0072, 0.002473, 1.189099, 0.744312, 0.9629, 33.685
5, 1, 0.0892, 0.0334, 0.2568, 0.004, 0.001426, 1.210318, 0.736122, 3.8971, 111.2253
5, 2, 0.0749, 0.0313, 0.235, 0.0037, 0.001285, 1.208917, 0.735642, 3.8971, 111.2604
5, 3, 0.0714, 0.0312, 0.2418, 0.0038, 0.001289, 1.212366, 0.734281, 3.8971, 108.8915


Total Pre Processing Time(sec): 5.1742
Total Processing Time(sec): 517.3687
